Timestamp,What is your current graduation year?,How would you describe your race and ethnicity? Check all that apply.,What is your intended concentration area(s)?,How would you describe your gender identity? Check all that apply.,Do you identify as LGBTQ+?,"Overall, how would you describe your political views relative to those of your parents? ",Have you ever been evaluated by Brown EMS (Emergency Medical Services)? Select all that apply.,How old was your mother when she had you? Enter -1 if unsure.,Were you allowed to watch SpongeBob SquarePants as a kid?,How did you meet your most recent significant other? Pick the option that best applies.,What percentage of Brown students do you think come from a family in the top 1% of household incomes?,"What is the minimum salary you would require to work in a role that directly conflicts with your morals? 

Enter -1 if you would not do this for any amount of money.",Which of the following substances have you used recreationally in the past six months?,Do you change with your blinds open?,Column 1,Column 2
3/4/2025 14:43:14,2025,Asian,Humanities/ Arts,Woman,Unsure,My views are somewhat more liberal,No,-1,Yes,Dating app,20,-1,Alcohol,No,,
3/4/2025 14:57:11,2027,White,Physical Sciences,Man,Yes,My views are somewhat more liberal,No,31,No,I have not had a significant other,10,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 15:07:09,2028,White,Social Sciences,Man,No,My views are somewhat more conservative,No,38,Yes,Dorm,60,-1,"Alcohol, Nicotine","Yes, but I don't think people can see me",,
3/4/2025 15:16:58,2028,Asian,"Humanities/ Arts, Physical Sciences, Social Sciences",Man,No,My views are somewhat more liberal,No,35,No,High school,20,-1,None of the above,No,,
3/4/2025 15:19:13,2028,"Black, White",Physical Sciences,Non-binary,Yes,My views are somewhat more liberal,No,45,No,I have not had a significant other,60,-1,"Alcohol, Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/4/2025 15:19:21,2028,Asian,Life Sciences,Woman,No,My views are somewhat more liberal,No,30,Yes,I have not had a significant other,30,-1,None of the above,No,,
3/4/2025 15:22:44,2027,Asian,"Life Sciences, Physical Sciences",Man,Prefer not to answer,My views are somewhat more liberal,No,36,Unsure,I have not had a significant other,51.4,-1,None of the above,No,,
3/4/2025 15:25:30,2028,"Asian, White",Humanities/ Arts,Man,Yes,My views are somewhat more liberal,No,31,No,High school,20,-1,None of the above,"Yes, but I don't think people can see me",,
3/4/2025 15:27:53,2028,White,Humanities/ Arts,Woman,Unsure,My views are somewhat more liberal,No,35,No,I have not had a significant other,25,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/4/2025 15:34:04,2027,Asian,Physical Sciences,Man,No,My views are somewhat more liberal,No,-1,Unsure,Class,30,-1,None of the above,No,,
3/4/2025 15:38:14,2028,White,"Physical Sciences, Social Sciences",Woman,Yes,My views are somewhat more liberal,No,35,Yes,High school,5,-1,Alcohol,No,,
3/4/2025 15:41:28,2025,Asian,"Humanities/ Arts, Social Sciences",Non-binary,Yes,My views are much more liberal,"Yes, for an incident involving drugs and/or alcohol",40,Yes,Mutual friends/met as friends,50,-1,"Alcohol, Marijuana","Yes, and I do think people can see me",,
3/4/2025 15:48:33,2025,Asian,"Humanities/ Arts, Life Sciences",Man,No,My views are somewhat more liberal,No,27,No,I have not had a significant other,12,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 15:50:45,2025,White,"Life Sciences, Social Sciences",Man,Yes,My views are somewhat more liberal,No,42,No,Dating app,25,-1,Alcohol,"Yes, but I don't think people can see me",,
3/4/2025 15:54:05,2028,White,"Humanities/ Arts, Social Sciences",Woman,Yes,My views are somewhat more liberal,"Yes, for a different reason",38,No,I have not had a significant other,30,-1,"Alcohol, Marijuana",No,,
3/4/2025 15:58:24,2026,Asian,Humanities/ Arts,"Woman, Non-binary, Other",Yes,My views are much more liberal,No,34,No,seeing around campus,15,-1,Alcohol,"Yes, and I do think people can see me",,
3/4/2025 15:59:46,2027,"Hispanic or Latino, White","Humanities/ Arts, Social Sciences","Woman, Man, Non-binary, Other",Prefer not to answer,Unsure,No,35,Yes,Social media,18,-1,None of the above,"Yes, and I do think people can see me",,
3/4/2025 17:07:27,2026,White,"Humanities/ Arts, Social Sciences",Woman,No,My views are somewhat more liberal,No,40,No,"Extracurricular activities (athletics, clubs, other campus organizations)",20,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 10:16:45,2025,Hispanic or Latino,Humanities/ Arts,Woman,Yes,My views are much more liberal,No,22,Yes,I have not had a significant other,50,-1,"Alcohol, Inhalants (Poppers/Whip-its), Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/6/2025 10:19:00,2026,White,Social Sciences,Man,No,My views are somewhat more conservative,"Yes, for an incident involving drugs and/or alcohol",25,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",10,-1,Alcohol,No,,
3/6/2025 10:22:09,2028,"Asian, Hispanic or Latino",Social Sciences,Woman,Yes,My views are somewhat more liberal,No,30,Unsure,High school,10,-1,Alcohol,No,,
3/6/2025 10:24:41,2025,Asian,Humanities/ Arts,Man,No,My views are somewhat more conservative,No,30,Yes,Social media,50,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 10:28:36,2028,"Hispanic or Latino, White",Physical Sciences,Man,Yes,My views are somewhat more liberal,No,30,Yes,Mutual friends/met as friends,40,-1,Alcohol,No,,
3/6/2025 10:31:29,2027,Asian,Life Sciences,Man,No,My views are similar to those of my parents,Prefer not to answer,25,Yes,Mutual friends/met as friends,80,-1,"Marijuana, Nicotine",No,,
3/6/2025 10:44:15,2026,White,Life Sciences,Man,No,My views are much more conservative,No,28,No,Mutual friends/met as friends,40,-1,None of the above,No,,
3/6/2025 11:10:10,2028,Asian,"Humanities/ Arts, Life Sciences, Social Sciences",Woman,No,My views are somewhat more liberal,No,27,Yes,High school,30,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 11:10:34,2026,Black,"Humanities/ Arts, Social Sciences","Woman, Non-binary",Yes,My views are much more liberal,No,30,No,gates scholarship confrence,50,-1,"Alcohol, Cocaine, Ketamine, Marijuana","Yes, and I do think people can see me",,
3/6/2025 11:10:36,2028,White,"Humanities/ Arts, Physical Sciences",Man,No,My views are somewhat more liberal,No,34,Unsure,High school,15,-1,"Alcohol, LSD/Acid, Marijuana, Psilocybin (Psychedelic mushrooms)",Prefer not to answer,,
3/6/2025 11:13:07,2025,Asian,"Humanities/ Arts, Social Sciences",Man,No,My views are somewhat more liberal,No,25,Yes,Social media,8,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 11:16:43,2028,Asian,"Humanities/ Arts, Physical Sciences, Social Sciences",Man,No,My views are somewhat more liberal,No,-1,Yes,Social media,35,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 11:24:05,2025,White,Physical Sciences,Man,Yes,My views are somewhat more liberal,No,35,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",10,-1,"Alcohol, Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/6/2025 11:47:25,2028,Asian,Physical Sciences,Man,No,My views are somewhat more liberal,No,22,No,I have not had a significant other,10,-1,"Alcohol, Marijuana, Nicotine",No,,
3/6/2025 11:48:07,2028,Asian,Humanities/ Arts,Woman,Yes,My views are much more liberal,No,29,Yes,I have not had a significant other,15,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/6/2025 11:48:51,2027,"Asian, Hispanic or Latino, Native Hawaiian or Pacific Islander, White","Humanities/ Arts, Life Sciences, Physical Sciences, Social Sciences",Woman,Unsure,My views are much more liberal,No,-1,No,I have not had a significant other,20,-1,None of the above,No,,
3/6/2025 11:50:25,2028,Black,Humanities/ Arts,Man,No,My views are similar to those of my parents,No,-1,Yes,Dorm,20,-1,"Alcohol, Marijuana, Nicotine",No,,
3/6/2025 11:51:30,2027,Black,Life Sciences,Woman,No,Unsure,No,33,Yes,I have not had a significant other,50,-1,None of the above,No,,
3/6/2025 11:53:55,2026,White,Life Sciences,Man,Yes,My views are somewhat more liberal,"Yes, for a different reason",40,No,Mutual friends/met as friends,20,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 11:55:48,2027,White,"Life Sciences, Physical Sciences",Man,Yes,My views are somewhat more liberal,"Yes, for a different reason",29,No,I have not had a significant other,5,-1,"Alcohol, Inhalants (Poppers/Whip-its), Marijuana, Nicotine","Yes, but I don't think people can see me",,
3/6/2025 11:57:27,2026,White,Humanities/ Arts,Man,Yes,My views are somewhat more liberal,No,39,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",30,-1,"Alcohol, Marijuana","Yes, and I do think people can see me",,
3/6/2025 11:58:44,2026,Asian,Social Sciences,Man,No,My views are much more liberal,No,32,No,Job/internship,60,-1,"Alcohol, LSD/Acid, Marijuana","Yes, but I don't think people can see me",,
3/6/2025 12:00:13,2028,"Black, White",Social Sciences,Woman,No,My views are somewhat more liberal,No,-1,Yes,Party/social event,37,-1,"Alcohol, Marijuana",No,,
3/6/2025 12:00:28,2028,White,"Humanities/ Arts, Social Sciences",Man,No,My views are much more liberal,No,35,Yes,Mutual friends/met as friends,15,-1,"Alcohol, Cocaine, Inhalants (Poppers/Whip-its), Ketamine, LSD/Acid, Marijuana, MDMA (Ecstasy/Molly), Nicotine, Psilocybin (Psychedelic mushrooms), Unprescribed use of prescription stimulants (Adderall)","Yes, and I do think people can see me",,
3/6/2025 12:01:29,2028,White,Life Sciences,Man,No,My views are somewhat more liberal,No,1,Yes,High school,25,-1,None of the above,No,,
3/6/2025 12:02:55,2027,Asian,Physical Sciences,Woman,Unsure,My views are much more liberal,No,25,Yes,I have not had a significant other,5,-1,None of the above,"Yes, but I don't think people can see me",,
3/6/2025 12:04:31,2027,White,Physical Sciences,Man,No,My views are similar to those of my parents,No,35,No,High school,20,-1,None of the above,"Yes, but I don't think people can see me",,
3/6/2025 12:09:55,2025,White,Physical Sciences,Woman,No,My views are somewhat more liberal,No,36,No,Job/internship,70,-1,Alcohol,No,,
3/6/2025 12:11:30,2025,Asian,Life Sciences,Man,No,My views are similar to those of my parents,No,40,No,Church,25,-1,Alcohol,No,,
3/6/2025 12:17:18,2025,White,Humanities/ Arts,Man,Yes,My views are somewhat more liberal,No,32,No,"Extracurricular activities (athletics, clubs, other campus organizations)",25,-1,"Alcohol, Inhalants (Poppers/Whip-its), Marijuana",No,,
3/6/2025 12:19:12,2025,White,Humanities/ Arts,Woman,Yes,My views are somewhat more liberal,No,25,Yes,Middle school,40,-1,Alcohol,"Yes, and I do think people can see me",,
3/6/2025 12:20:28,2028,Asian,Life Sciences,Woman,No,Unsure,No,-1,Yes,I have not had a significant other,5,-1,None of the above,No,,
3/6/2025 12:24:46,2028,White,"Humanities/ Arts, Social Sciences",Man,Yes,My views are much more liberal,No,29,Yes,High school,40,-1,"Alcohol, Ketamine, Marijuana","Yes, but I don't think people can see me",,
3/6/2025 12:29:32,2025,Asian,Prefer not to answer,Man,No,My views are somewhat more conservative,"Yes, for a different reason",-1,Yes,High school,35,-1,"Alcohol, Marijuana","Yes, but I don't think people can see me",,
3/6/2025 12:37:13,2027,Asian,Prefer not to answer,Man,No,My views are similar to those of my parents,No,30,Yes,Party/social event,20,-1,"Alcohol, Cocaine, Ketamine",No,,
3/6/2025 12:43:11,2025,White,"Humanities/ Arts, Social Sciences",Man,Yes,My views are much more liberal,"Yes, for a different reason",32,Yes,Dating app,50,-1,None of the above,No,,
3/6/2025 12:45:23,2028,Hispanic or Latino,Life Sciences,Woman,No,Prefer not to answer,"Yes, for a different reason",25,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",50,-1,"None of the above, Unsure",No,,
3/6/2025 12:52:09,2026,Asian,Social Sciences,Woman,No,My views are somewhat more liberal,No,26,Yes,"Extracurricular activities (athletics, clubs, other campus organizations)",25,-1,None of the above,"Yes, and I do think people can see me",,
3/6/2025 12:52:26,2026,Asian,Physical Sciences,Woman,No,My views are much more liberal,No,39,Yes,Class,60,-1,Alcohol,"Yes, but I don't think people can see me",,
3/6/2025 12:54:02,2028,White,Life Sciences,Man,Yes,My views are much more liberal,No,-1,Unsure,I have not had a significant other,10,-1,None of the above,No,,
3/6/2025 12:57:30,2025,White,Humanities/ Arts,Woman,No,My views are similar to those of my parents,No,33,No,Mutual friends/met as friends,30,-1,"Alcohol, Marijuana, Nicotine, Psilocybin (Psychedelic mushrooms)","Yes, but I don't think people can see me",,
3/6/2025 12:58:33,2027,White,"Life Sciences, Physical Sciences",Man,No,Prefer not to answer,No,-1,Yes,Prefer not to answer,20,-1,None of the above,"Yes, and I do think people can see me",,
