Timestamp,What is your current graduation year?,What is your (intended) concentration area(s)?,How would you describe your gender identity? Check all that apply.,Which of the following do you consider yourself to be?,How would you describe your race and ethnicity? Check all that apply.,Do you participate in athletics at Brown? Select all that apply.,How would you describe your political views?,Would you drop out of Brown for a million dollars? (You cannot enroll elsewhere),To what extent do you agree with the following statement: Our country needs to reduce political correctness and cancel culture.,Which would you rather have guaranteed after college?,Have you ever ended a friendship over a difference in political opinion?,Do you consider yourself neurodivergent?,How serious a problem do you think illegal immigration is for the United States right now?,To what extent do you agree with the following statement: I feel satisfied with my social experience at Brown.,Would you rather die now or live forever?
11/19/2024 12:03:51,2027,"Physical Sciences (including math, computer science)",Man,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat disagree,Dream job,No,No,Somewhat serious,Strongly agree,Live forever
11/19/2024 12:04:23,2027,"Physical Sciences (including math, computer science)",Woman,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Prefer not to answer,No,No,Not too serious,Somewhat agree,
11/19/2024 12:05:38,2028,Humanities/Arts,Man,Gay,"Hispanic or Latino, White","No, I do not participate in varsity or club athletics",Liberal,No,Somewhat disagree,Ideal romantic partner,No,No,Somewhat serious,Somewhat agree,Live forever
11/19/2024 12:05:42,2026,"Social Sciences (including economics, CLPS)",Woman,"Bisexual, Asexual",White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat disagree,Dream job,Yes,Yes,Not too serious,Somewhat agree,Die now
11/19/2024 12:05:49,2028,"Humanities/Arts, Social Sciences (including economics, CLPS)",Woman,Bisexual,Asian,"Yes, club athletics",Liberal,No,Somewhat disagree,Dream job,No,No,Not too serious,Strongly agree,Die now
11/19/2024 12:07:14,2028,Humanities/Arts,Man,Gay,White,"No, I do not participate in varsity or club athletics",Very liberal,No,Somewhat disagree,Dream job,Yes,No,Not too serious,Strongly agree,Die now
11/19/2024 12:08:17,2028,"Humanities/Arts, Physical Sciences (including math, computer science)",Woman,Lesbian,Hispanic or Latino,"No, I do not participate in varsity or club athletics",Very liberal,No,Somewhat agree,Dream job,No,No,Not too serious,Strongly agree,Die now
11/19/2024 12:08:37,2028,Life Sciences,Woman,Queer,White,"Yes, club athletics",Very liberal,No,Strongly agree,Dream job,No,No,Not too serious,Strongly agree,Live forever
11/19/2024 12:09:33,2025,Life Sciences,Woman,Bisexual,"White, Prefer not to answer","No, I do not participate in varsity or club athletics",Very liberal,Yes,Somewhat disagree,Dream job,No,No,Not too serious,Strongly agree,Die now
11/19/2024 12:10:13,2025,"Physical Sciences (including math, computer science)",Man,Straight,White,"No, I do not participate in varsity or club athletics",Liberal,No,Strongly agree,Ideal romantic partner,No,No,Somewhat serious,Strongly agree,Die now
11/19/2024 12:10:49,2027,"Physical Sciences (including math, computer science)",Man,"Gay, Bisexual, Queer",Black,"No, I do not participate in varsity or club athletics",Liberal,Yes,Strongly disagree,Dream job,Yes,Unsure,Not at all serious,Somewhat disagree,Live forever
11/19/2024 12:11:09,2028,"Physical Sciences (including math, computer science), Social Sciences (including economics, CLPS)",Man,Bisexual,Asian,"No, I do not participate in varsity or club athletics",Moderate,No,Somewhat agree,Ideal romantic partner,Yes,No,Not too serious,Somewhat agree,Live forever
11/19/2024 12:12:15,2028,"Physical Sciences (including math, computer science)",Man,Straight,White,"No, I do not participate in varsity or club athletics",Moderate,No,Somewhat agree,Dream job,No,No,Somewhat serious,Somewhat agree,Prefer not to answer
11/19/2024 12:12:20,2025,"Physical Sciences (including math, computer science)",Non-binary,"Bisexual, Queer",White,"No, I do not participate in varsity or club athletics",Very liberal,Yes,Somewhat agree,Dream job,No,Unsure,Not at all serious,Strongly agree,Live forever
11/19/2024 12:12:41,2028,"Social Sciences (including economics, CLPS)",Man,Straight,"Middle Eastern or North African, White","Yes, club athletics",Moderate,No,Somewhat disagree,Dream job,Yes,Unsure,Somewhat serious,Somewhat agree,Live forever
11/19/2024 12:14:22,2028,Humanities/Arts,Woman,Straight,Black,"No, I do not participate in varsity or club athletics",Very liberal,No,Somewhat agree,Dream job,No,No,Not too serious,Strongly agree,Live forever
11/19/2024 12:15:43,2026,"Physical Sciences (including math, computer science)",Woman,Lesbian,White,"Yes, club athletics",Liberal,No,Prefer not to answer,Dream job,Unsure,No,Not at all serious,Strongly agree,Live forever
11/19/2024 12:15:48,2026,"Social Sciences (including economics, CLPS)",Woman,Bisexual,White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat disagree,Ideal romantic partner,No,No,Not at all serious,Somewhat agree,Die now
11/19/2024 12:17:30,2026,"Humanities/Arts, Physical Sciences (including math, computer science)",Woman,Questioning,White,"No, I do not participate in varsity or club athletics",Very liberal,No,Somewhat agree,Dream job,Unsure,No,Somewhat serious,Somewhat agree,Live forever
11/19/2024 12:19:28,2025.5,Humanities/Arts,Woman,Bisexual,White,"No, I do not participate in varsity or club athletics",Liberal,No,Strongly agree,Dream job,No,Unsure,Somewhat serious,Somewhat agree,Live forever
11/19/2024 12:19:36,2025.5,"Social Sciences (including economics, CLPS)",Man,Gay,White,"No, I do not participate in varsity or club athletics",Very liberal,Yes,Somewhat agree,Ideal romantic partner,No,No,Not too serious,Strongly agree,Die now
11/19/2024 12:21:26,2028,"Physical Sciences (including math, computer science)",Woman,Queer,Hispanic or Latino,"No, I do not participate in varsity or club athletics",Liberal,Yes,Strongly agree,Dream job,No,Yes,Not too serious,Somewhat agree,Live forever
11/19/2024 12:21:29,2027,"Humanities/Arts, Life Sciences",Woman,Bisexual,White,"No, I do not participate in varsity or club athletics",Liberal,Yes,Somewhat agree,Ideal romantic partner,Yes,No,Not too serious,Somewhat disagree,Live forever
11/19/2024 12:22:41,2027,"Humanities/Arts, Physical Sciences (including math, computer science)",Man,Gay,Hispanic or Latino,"No, I do not participate in varsity or club athletics",Very liberal,No,Strongly disagree,Ideal romantic partner,Yes,No,Somewhat serious,Strongly agree,Die now
11/19/2024 12:22:48,2028,Life Sciences,Woman,Straight,Black,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,Yes,No,Not too serious,Strongly agree,Live forever
11/19/2024 12:24:20,2027,Life Sciences,Woman,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Ideal romantic partner,Yes,No,Not too serious,Somewhat agree,Die now
11/19/2024 12:28:15,2024.5,Humanities/Arts,Man,"Gay, Bisexual, Queer",White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Ideal romantic partner,Unsure,No,Not too serious,Somewhat disagree,Live forever
11/19/2024 12:28:25,2028,Humanities/Arts,Woman,Straight,White,Prefer not to answer,Liberal,Yes,Somewhat agree,Dream job,Yes,No,Unsure,Unsure,Prefer not to answer
11/19/2024 12:30:35,2027,Life Sciences,Woman,Straight,White,"No, I do not participate in varsity or club athletics",Moderate,No,Strongly agree,Ideal romantic partner,Yes,No,Somewhat serious,Somewhat agree,Live forever
11/19/2024 12:31:41,2026,"Humanities/Arts, Social Sciences (including economics, CLPS)",Man,Straight,Asian,"No, I do not participate in varsity or club athletics",Prefer not to answer,No,Strongly agree,Dream job,Unsure,No,Unsure,Somewhat agree,Live forever
11/19/2024 12:34:10,2028,"Humanities/Arts, Social Sciences (including economics, CLPS)",Man,Bisexual,White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,Yes,No,Very serious,Somewhat agree,Die now
11/19/2024 12:34:22,2028,Life Sciences,Man,Gay,White,"No, I do not participate in varsity or club athletics",Very liberal,No,Somewhat agree,Dream job,Unsure,Unsure,Somewhat serious,Somewhat agree,Die now
11/19/2024 12:35:17,2028,Life Sciences,Woman,Straight,White,"Yes, club athletics",Moderate,No,Somewhat agree,Dream job,No,No,Not too serious,Somewhat agree,Live forever
11/19/2024 12:36:30,2028,"Life Sciences, Physical Sciences (including math, computer science)",Woman,Straight,Asian,"Yes, club athletics",Liberal,Yes,Somewhat agree,Dream job,Unsure,Unsure,Not too serious,Somewhat agree,Live forever
11/19/2024 12:38:43,2027,"Social Sciences (including economics, CLPS)",Man,Straight,White,"Yes, club athletics",Very liberal,Yes,Somewhat disagree,Ideal romantic partner,No,No,Somewhat serious,Somewhat agree,Die now
11/19/2024 12:39:23,2028,"Physical Sciences (including math, computer science)",Man,Straight,"Hispanic or Latino, Middle Eastern or North African, White","No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,No,No,Somewhat serious,Strongly agree,Live forever
11/19/2024 12:43:22,2028,"Social Sciences (including economics, CLPS)",Man,Straight,Black,"No, I do not participate in varsity or club athletics",Liberal,Yes,Somewhat agree,Dream job,No,No,Somewhat serious,Strongly agree,Die now
11/19/2024 12:45:07,2027,Humanities/Arts,Woman,Queer,White,"No, I do not participate in varsity or club athletics",Very liberal,No,Strongly agree,Dream job,No,Unsure,Not too serious,Somewhat agree,Die now
11/19/2024 12:46:52,2028,"Humanities/Arts, Life Sciences",Woman,Questioning,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,Unsure,No,Somewhat serious,Somewhat disagree,Die now
11/19/2024 12:48:06,2028,Life Sciences,Man,Straight,Asian,"Yes, club athletics",Very liberal,No,Strongly disagree,Ideal romantic partner,Unsure,No,Somewhat serious,Somewhat agree,Die now
11/19/2024 12:48:13,2025,"Humanities/Arts, Social Sciences (including economics, CLPS)",Non-binary,"Bisexual, Queer",Asian,"No, I do not participate in varsity or club athletics",Very liberal,Yes,Somewhat agree,Dream job,No,Yes,Not at all serious,Strongly agree,Live forever
11/19/2024 12:50:30,2028,"Humanities/Arts, Physical Sciences (including math, computer science)",Man,Straight,White,"Yes, varsity athletics",Conservative,Yes,Strongly agree,Ideal romantic partner,No,No,Very serious,Somewhat agree,Die now
11/19/2024 12:51:51,2028,"Physical Sciences (including math, computer science)",Non-binary,"Gay, Queer, Questioning",White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,Unsure,Unsure,Not at all serious,Somewhat disagree,Live forever
11/19/2024 12:52:16,2026,Humanities/Arts,Woman,Prefer not to answer,Black,"No, I do not participate in varsity or club athletics",Very liberal,No,Strongly disagree,Ideal romantic partner,No,Yes,Not too serious,Somewhat agree,Die now
11/19/2024 12:54:44,2028,"Humanities/Arts, Life Sciences",Man,Gay,Asian,"Yes, club athletics",Very liberal,No,Somewhat disagree,Dream job,Yes,Yes,Not at all serious,Somewhat agree,Die now
11/19/2024 12:55:07,2028,"Physical Sciences (including math, computer science)",Woman,Straight,Black,"Yes, club athletics",Moderate,Yes,Somewhat disagree,Dream job,Unsure,No,Somewhat serious,Somewhat agree,Live forever
11/19/2024 12:55:42,2028,"Physical Sciences (including math, computer science)",Woman,Bisexual,White,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,Unsure,Yes,Unsure,Somewhat agree,Live forever
11/19/2024 12:56:55,2025,"Humanities/Arts, Life Sciences",Woman,Questioning,"Asian, White","No, I do not participate in varsity or club athletics",Very liberal,Yes,Strongly disagree,Ideal romantic partner,Yes,Unsure,Very serious,Strongly agree,Live forever
11/19/2024 12:59:00,2025,Life Sciences,Woman,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,Yes,Somewhat agree,Ideal romantic partner,No,No,Somewhat serious,Somewhat agree,Live forever
11/19/2024 12:59:26,2027,"Physical Sciences (including math, computer science)",Man,Straight,Black,"No, I do not participate in varsity or club athletics",Liberal,Yes,Strongly disagree,Dream job,Yes,No,Not too serious,Strongly agree,Live forever
11/19/2024 13:01:42,2026,"Physical Sciences (including math, computer science)",Man,Straight,White,"Yes, club athletics",Very liberal,Prefer not to answer,Somewhat disagree,Ideal romantic partner,Unsure,No,Unsure,Strongly agree,Prefer not to answer
11/19/2024 13:05:01,2028,Life Sciences,Woman,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Strongly agree,Ideal romantic partner,No,No,Somewhat serious,Somewhat agree,Live forever
11/19/2024 13:07:13,2025,"Physical Sciences (including math, computer science)",Non-binary,"Lesbian, Queer",White,"No, I do not participate in varsity or club athletics",Very liberal,No,Somewhat agree,Dream job,Unsure,Unsure,Not too serious,Strongly agree,Live forever
11/19/2024 13:07:48,2028,"Social Sciences (including economics, CLPS)",Woman,Bisexual,Black,"No, I do not participate in varsity or club athletics",Very liberal,Yes,Strongly disagree,Ideal romantic partner,Yes,No,Not at all serious,Strongly agree,Die now
11/19/2024 13:08:11,2026,"Physical Sciences (including math, computer science)",Man,Straight,Asian,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Dream job,No,Unsure,Unsure,Strongly agree,Die now
11/19/2024 13:11:16,2027,"Physical Sciences (including math, computer science)",Woman,Questioning,Middle Eastern or North African,"No, I do not participate in varsity or club athletics",Liberal,No,Somewhat agree,Ideal romantic partner,No,No,Not at all serious,Somewhat disagree,Die now
11/19/2024 13:13:11,2027,"Physical Sciences (including math, computer science)",Man,Straight,Middle Eastern or North African,"No, I do not participate in varsity or club athletics",Prefer not to answer,Yes,Somewhat agree,Dream job,No,No,Not at all serious,Strongly disagree,Live forever
11/19/2024 13:13:59,2028,Humanities/Arts,Woman,Queer,White,"Yes, club athletics",Liberal,No,Somewhat disagree,Dream job,Yes,Unsure,Somewhat serious,Strongly agree,Die now
11/19/2024 13:23:47,2025,"Humanities/Arts, Physical Sciences (including math, computer science)",Man,Straight,Asian,"No, I do not participate in varsity or club athletics",Moderate,No,Somewhat agree,Dream job,No,Unsure,Not too serious,Strongly agree,Live forever
11/19/2024 13:30:23,2027,Humanities/Arts,Unsure,Queer,"Asian, White","No, I do not participate in varsity or club athletics",Very liberal,Yes,Somewhat agree,Dream job,Yes,Yes,Somewhat serious,Strongly agree,Die now
11/19/2024 13:31:46,2028,"Humanities/Arts, Physical Sciences (including math, computer science)",Man,Bisexual,"Black, White","No, I do not participate in varsity or club athletics",Very liberal,Yes,Somewhat disagree,Ideal romantic partner,No,No,Not too serious,Somewhat agree,Die now
11/19/2024 13:32:01,2027,"Physical Sciences (including math, computer science)",Woman,Bisexual,Hispanic or Latino,"No, I do not participate in varsity or club athletics",Liberal,Yes,Strongly agree,Dream job,No,Yes,Somewhat serious,Strongly agree,Die now
